,city,company_full_names,company_name,create_time,positionId,positionName,salary,salary_max,salary_min,comp_id,city_id,pos_class
1039,北京,北京传智播客教育科技有限公司,传智播客,2018-05-02,4507612,python就业指导老师(J10728),10k-15k,15000,10000,644,20,普通
1040,成都,南京价公信息技术有限公司,公平价,2018-05-02,254411,Python,7k-14k,14000,7000,169,35,普通
1041,北京,微诺时代（北京）科技股份有限公司,微诺时代北京科技股份有限公司,2018-05-02,3019261,Python研发工程师,10k-15k,15000,10000,275,20,普通
1042,杭州,浙江核新同花顺网络信息股份有限公司,同花顺,2018-05-02,4403003,Python开发实习生（2018届）,3k-5k,5000,3000,1037,21,初级
1043,深圳,深圳市誉托科技有限公司,誉托科技,2018-04-23,4439803,Python开发工程师,9k-15k,15000,9000,241,19,普通
1044,上海,上海企企网络科技有限公司,上海企企网络科技有限公司,2018-04-23,3305220,Python工程师,10k-20k,20000,10000,279,22,普通
1045,重庆,云数海量,活动家,2018-05-04,1240490,Python,7k-14k,14000,7000,757,9,普通
1046,北京,北京世纪好未来教育科技有限公司,好未来,2018-05-04,3359300,家长帮-Python/Django web开发工程师,20k-35k,35000,20000,922,20,普通
1047,武汉,深圳市万泉河医疗科技有限公司,就医120,2018-05-02,4400972,python,9k-18k,18000,9000,79,8,普通
1048,广州,广州杰颉软件科技有限公司,颉一软件,2018-05-02,3553198,Python工程师,15k-20k,20000,15000,1070,12,普通
1049,广州,南京厚建软件有限责任公司广州分公司,厚建广州,2018-04-28,741948,Python工程师,8k-15k,15000,8000,620,12,普通
1050,广州,南京厚建软件有限责任公司广州分公司,厚建广州,2018-04-28,741948,Python工程师,8k-15k,15000,8000,620,12,普通
1051,天津,天津通津网络科技有限公司,通津科技,2018-04-19,4088761,Python工程师,10K-15K,15000,10000,990,26,普通
1052,北京,北京尚德在线教育科技有限公司,尚德机构,2018-04-08,4382901,Python开发,15k-30k,30000,15000,210,20,普通
1053,杭州,杭州默安科技有限公司,杭州默安科技有限公司,2018-05-03,3854484,Python开发,18k-30k,30000,18000,944,21,普通
1054,广州,广州智建云信息技术有限公司,智检 - 专注工程现场的SaaS平台,2018-05-03,4004025,python运维工程师,10k-20k,20000,10000,946,12,普通
1055,北京,成都美洽网络科技有限公司,美洽,2018-05-03,4200834,初级后端开发（python）,8k-15k,15000,8000,778,20,初级
1056,上海,再惠（上海）网络科技有限公司,再惠网络,2018-05-03,3886061,后端（Python）开发工程师,16k-32k,32000,16000,230,22,普通
1057,上海,拉扎斯网络科技（上海）有限公司,饿了么,2018-05-02,3307650,Python工程师,15k-25k,25000,15000,684,22,普通
1058,厦门,福建紫光信息技术有限公司,紫光科技,2018-04-26,2627530,python开发（厦门）,4k-8k,8000,4000,105,11,普通
1059,上海,上海茗日智能科技有限公司,S先生,2018-04-20,3897074,高级Python工程师,18K-35K,35000,18000,377,22,高级
1060,北京,北京战策互动科技有限公司,专注做海外，自研自发，研运一体,2018-04-17,4383587,Python开发工程师,10k-20k,20000,10000,761,20,普通
1061,广州,广州洋葱头信息科技有限公司,菜鸟窝,2018-04-16,4215426,Python web开发工程师,8K-15K,15000,8000,49,12,普通
1062,北京,北京陌陌科技有限公司,陌陌,2018-05-04,4310939,【校招】Python开发工程师（安全方向）,12k-24k,24000,12000,464,20,普通
1063,成都,成都吉吉戈科技有限公司,吉吉戈,2018-05-04,4458074,Python开发,3k-6k,6000,3000,452,35,普通
1064,上海,北京三快在线科技有限公司,美团点评,2018-05-04,3240672,Python开发主管/经理（运维开发）,18k-35k,35000,18000,394,22,普通
1065,成都,瑞数信息技术(上海)有限公司,瑞数信息,2018-05-02,3925362,软件开发工程师（工具开发 Python）,10k-20k,20000,10000,190,35,普通
